subject_id,node_id,ensemble_mean_graph_prob,ensemble_std,topk_error_flag
sub-004,36,0.09039249185650017,0.05620530920054848,0
sub-004,37,0.311604994106468,0.08387731720789336,0
sub-004,38,0.06593880600589794,0.03800223030403716,0
sub-004,39,0.4332900408010377,0.11466520455613631,0
sub-004,40,0.36344947358486357,0.1403568703497837,0
sub-004,41,0.225318181452041,0.051932682870800786,1
sub-004,42,0.17671702294185648,0.07741787197749693,0
sub-004,43,0.7802614822022512,0.08016776674950872,0
sub-004,44,0.11844860126135433,0.042887797434199425,0
sub-004,45,0.7157736571968609,0.08585540605217665,0
sub-004,46,0.14271205531889164,0.0513556458661452,0
sub-004,47,0.24546450306121023,0.10226024552329972,0
sub-004,48,0.10877050899532581,0.04251148454012195,0
sub-004,49,0.6504038455704453,0.18641095236120658,1
sub-004,50,0.028309638517864194,0.013964373512012325,0
sub-004,51,0.09597453861354999,0.044216095735708845,0
sub-004,52,0.026575828003348678,0.005481985061022411,0
sub-004,53,0.40145330362084736,0.09137570386131826,0
sub-004,54,0.4655861576107031,0.1654085632133794,0
sub-004,55,0.35854373171302656,0.09642155187623584,0
sub-004,56,0.13558378822531267,0.05746068126987903,0
sub-004,57,0.25626894317318893,0.13391818383177706,0
sub-004,58,0.04268227677219887,0.018107039187459168,0
sub-004,59,0.03418903952903749,0.009041130922853184,0
sub-004,60,0.20378587914739996,0.07521904598723028,0
sub-004,61,0.5812251664311605,0.15289710950232732,0
sub-004,62,0.5445522030545015,0.11182721050432869,0
sub-004,63,0.1477590071783372,0.059037391522119474,0
sub-004,64,0.12977452045295262,0.03663549825333363,0
sub-004,65,0.658781359705042,0.09724424470047906,1
sub-004,66,0.06477300906166526,0.024799630046217557,0
sub-004,67,0.5484106080970327,0.15269704699023876,1
sub-009,0,0.1828907658758064,0.11722105243181666,0
sub-009,1,0.08416618092206833,0.026319180502960893,0
sub-009,2,0.20082940484347572,0.068565453829166,0
sub-009,3,0.13346579661645458,0.04190715511303436,0
sub-009,4,0.09755159204404121,0.02431797108933423,0
sub-009,5,0.18243099462719248,0.08070368984052015,0
sub-009,6,0.34645801402438187,0.05477231531700702,0
sub-009,7,0.3957435523811367,0.07999775021776141,0
sub-009,8,0.18128585726921315,0.03300209221792963,0
sub-009,9,0.6728338583097213,0.09657501107160607,0
sub-009,10,0.6191681648721356,0.10580737448131515,0
sub-009,11,0.4913120653884936,0.06169264887732103,0
sub-009,12,0.05655564816030162,0.021114234263946194,0
sub-009,13,0.657970397322277,0.07433282523162182,0
sub-009,14,0.05912864909154962,0.019748301703397985,0
sub-009,15,0.3073056796833266,0.058755787055223815,0
sub-009,16,0.5263861921791538,0.060655784856427815,0
sub-009,17,0.5509232192021811,0.08959447292124517,0
